Name,IsCentralized
10KSwap,DEX
1BCH,DEX
3xcalibur,DEX
9inch,DEX
Aave,DEX
Aboard Exchange,DEX
AbstraDEX,DEX
Abstradex (X Layer),DEX
Acala Swap,DEX
ACDX,CEX
Ace,CEX
Acsi Finance,DEX
Aerodrome (Base),DEX
Aerodrome SlipStream,DEX
Aevo,DEX
Aftermath Finance,DEX
Agni Finance,DEX
Agora Swap,DEX
Aktionariat (Ethereum),DEX
Alcor,DEX
ALEX,DEX
Algebra finance,DEX
Alien Base,DEX
AlienFi,DEX
AllInXSwap (opBnb),DEX
AltcoinTrader,CEX
AlterDice,CEX
Amaterasu Finance,DEX
Animeswap,DEX
Antfarm (Avalanche),DEX
Antfarm (Ethereum) ,DEX
ApertureSwap,DEX
Apeswap (Arbitrum),DEX
ApeSwap,DEX
ApeSwap (Polygon),DEX
Apeswap (Telos),DEX
ApeX Pro,DEX
Aprobit,CEX
AQX,CEX
Flipster,CEX
Arbidex,DEX
Arbswap,DEX
Archerswap,DEX
Armada,DEX
ArthSwap,DEX
ArthSwap (Astar zkEVM),DEX
Ashswap,DEX
Astroport (Injective),DEX
Astroport (Neutron),DEX
Astroport (Osmosis),DEX
Astroport (Sei),DEX
Astroport V2,DEX
Astrovault,DEX
AuroraSwap,DEX
AutoShark Finance,DEX
AUX Exchange,DEX
AYIN,DEX
Azbit,CEX
BabyDogeSwap,DEX
BabySwap,DEX
Backpack Exchange ,CEX
Baguette,DEX
Bakeryswap,DEX
BakerySwap (Base),DEX
Balanced,DEX
Balancer V2,DEX
Balancer V2 (Arbitrum),DEX
Balancer V2 (Gnosis),DEX
Balancer V2 (Polygon),DEX
Balancer V1,DEX
Balancer V2 (Avalanche),DEX
Balancer V2 (Base),DEX
Balancer V2 (Polygon zkEVM) ,DEX
Bancor (V2),DEX
Bancor (V3),DEX
BAPTSwap,DEX
Baryon Network,DEX
BaryonSwap (Viction),DEX
BaseSwap,DEX
BaseSwap V3,DEX
BaseX,DEX
Basin,DEX
Baso Finance,DEX
BCEX,CEX
Beamswap,DEX
Beam Swap,DEX
Beethoven X,DEX
Beethoven X (Optimism),DEX
Benswap,DEX
BEVMSwap,DEX
Bibox,CEX
Bibox (Futures),CEX
Biconomy,CEX
Bifrost Swap,DEX
BigONE,CEX
BigONE Futures,CEX
Bilaxy,CEX
Binance,CEX
Binance DEX,DEX
Binance DEX (Mini),DEX
Binance (Futures),CEX
Binance US,CEX
BinarySwap,DEX
BingX,CEX
BingX (Futures),CEX
Birake,CEX
Bisq,DEX
Biswap,DEX
Biswap V3,DEX
Bit2c,CEX
Bit2Me,CEX
Bitazza,CEX
Bitbank,CEX
zondacrypto,CEX
Bitbegin,CEX
BitBNS,CEX
bitcastle,CEX
Bitci TR,CEX
FMFW.io,CEX
Bitcointry,CEX
BIT,CEX
BitDelta,CEX
Bitdex,DEX
BITEXBOOK,CEX
Bitexen,CEX
Bitexlive,CEX
Bitfinex,CEX
Bitfinex (Futures),CEX
bitFlyer,CEX
Bitflyer (Futures),CEX
BitGenie,DEX
Bitget,CEX
Bitget Futures,CEX
BitHash,CEX
Bithumb,CEX
BITKER,CEX
Bitkub,CEX
Bitlo,CEX
BitMake,CEX
BitMake Futures,CEX
BitMart,CEX
Bitmart Futures,CEX
AscendEX (BitMax),CEX
AscendEX  (BitMax) (Futures),CEX
BitMEX (Derivative),CEX
BitMEX,CEX
BitOnBay,CEX
BitoPro,CEX
One Trading,CEX
Bitrue,CEX
Bitrue (Futures),CEX
Bitso,CEX
Bitstamp,CEX
Bitsten,CEX
BitStorage,CEX
BitSwap,DEX
BitSwap V2 (BounceBit),DEX
BitSwap V3 (BounceBit) ,DEX
Bittime,CEX
Bittrex Global,CEX
Bitunix,CEX
Bitunix Futures,CEX
Bitvavo,CEX
BitVenus Futures,CEX
BitVenus,CEX
BladeSwap,DEX
BladeSwap (Volatile Pools),DEX
BlastDEX,DEX
BlasterSwap,DEX
Blasterswap V3,DEX
Blazeswap (Songbird),DEX
BlazeSwap (Flare) ,DEX
Blitz,DEX
Blockchain.com,CEX
BloFin (Futures),CEX
BloFin,CEX
BlueLotusDAO,DEX
BlueMove,DEX
Blueprint,DEX
Blueshift,DEX
BobSwap (Polygon),DEX
BossSwap,DEX
BTC-Alpha,CEX
BTCBOX,CEX
BTCC,CEX
BTCMarkets,CEX
BTC Trade UA,CEX
BtcTurk | Kripto,CEX
BTSE,CEX
BTSE (Futures),CEX
Bullish,CEX
BunnySwap,DEX
Butter.xyz,DEX
BuyUcoin,CEX
BWFX.pro,CEX
Bybit (Futures),CEX
Bybit,CEX
BYDFi,CEX
BYDFi (Futures),DEX
Byte Exchange,CEX
Camelot,DEX
Camelot (Sanko),DEX
Camelot V3,DEX
Canto Dex,DEX
Cantoswap,DEX
Capricorn,DEX
Carbon,DEX
Catex,CEX
CaviarNine,DEX
Cellana Finance,DEX
Cetoswap (Manta Pacific),DEX
Cetus,DEX
CEX.IO,CEX
ChainEX,CEX
Changelly PRO,CEX
ChangeNOW,DEX
CherrySwap,DEX
ChilizX,CEX
Chronos,DEX
CitadelSwap,DEX
CITEX,CEX
Claimswap,DEX
Cleopatra Exchange,DEX
Clipper (Arbitrum),DEX
Clipper (Ethereum),DEX
